 ,Label,Area,Mean,Min,Max
87,D66 RB 0.jpg,288,20.4557,-15.8646,52.5694
88,D66 RB 0.jpg,314,12.6209,-32.9236,58.4392
89,D66 RB 0.jpg,492,14.4151,-35.9849,60.1914
90,D66 RB 0.jpg,213,7.7330,-39.2412,58.2458
91,D66 RB 0.jpg,444,17.1747,-33.2421,64.5772
92,D66 RB 0.jpg,513,4.1370,-52.9654,59.1196
93,D66 RB 0.jpg,675,10.1041,-44.3679,61.8605
94,D66 RB 0.jpg,341,10.3682,-27.6800,51.7273
95,D66 RB 0.jpg,528,19.7959,-41.4218,58.8047
96,D66 RB 0.jpg,506,16.6653,-36.6231,67.8724
97,D66 RB 0.jpg,278,18.6814,-46.6551,63.2231
98,D66 RB 0.jpg,472,6.6147,-40.7338,42.2383
99,D66 RB 0.jpg,259,8.9996,-30.9358,56.0050
100,D66 RB 0.jpg,523,9.6592,-38.7879,56.8248
101,D66 RB 0.jpg,512,22.8097,-40.0995,73.3734
102,D66 RB 0.jpg,271,10.4246,-37.0440,52.5980
103,D66 RB 0.jpg,421,-0.0374,-30.8883,40.6839
104,D66 RB 0.jpg,522,11.6267,-39.2397,64.4727
105,D66 RB 0.jpg,370,21.6652,-40.3876,60.5645
106,D66 RB 0.jpg,82,-23.1920,-41.4121,-3.4902
107,D66 RB 0.jpg,383,12.3905,-23.3620,49.3027
108,D66 RB 0.jpg,442,14.4247,-44.2575,50.1180
109,D66 RB 0.jpg,684,21.2897,-47.9364,57.3046
110,D66 RB 0.jpg,326,15.3113,-41.9715,65.8150
111,D66 RB 0.jpg,403,10.8941,-41.2171,56.5756
112,D66 RB 0.jpg,278,20.8427,-44.0761,52.2985
113,D66 RB 0.jpg,552,16.5325,-58.1032,55.8360
114,D66 RB 0.jpg,297,9.8450,-22.9017,43.5328
115,D66 RB 0.jpg,324,20.6008,-35.1302,60.6836
116,D66 RB 0.jpg,244,14.1515,-31.8830,50.6025
117,D66 RB 0.jpg,575,17.5715,-35.7316,61.4598
118,D66 RB 0.jpg,277,16.2831,-30.9058,65.5220
119,D66 RB 0.jpg,235,16.3387,-17.5122,58.7195
120,D66 RB 0.jpg,415,19.7527,-47.8639,64.5611
121,D66 RB 0.jpg,457,17.7130,-40.4617,55.8750
122,D66 RB 0.jpg,500,13.4509,-33.4472,61.0672
123,D66 RB 0.jpg,355,6.5057,-44.2954,59.4945
124,D66 RB 0.jpg,260,12.3589,-41.2993,56.1907
125,D66 RB 0.jpg,291,18.9796,-35.8177,72.6768
126,D66 RB 0.jpg,636,10.4398,-48.2371,69.3848
127,D66 RB 0.jpg,301,14.1918,-41.5476,46.7512
128,D66 RB 0.jpg,249,30.1846,-16.5757,63.1222
129,D66 RB 0.jpg,454,10.9692,-38.5396,65.1671
130,D66 RB 0.jpg,432,12.1285,-38.5173,52.9081
131,D66 RB 0.jpg,340,19.4000,-28.8004,58.5251
132,D66 RB 0.jpg,482,12.3361,-42.9025,53.4501
133,D66 RB 0.jpg,513,13.1407,-47.7748,58.9054
134,D66 RB 0.jpg,284,17.9286,-42.8434,66.6832
135,D66 RB 0.jpg,381,0.5593,-41.9940,61.4598
136,D66 RB 0.jpg,775,9.0123,-51.6192,62.7844
137,D66 RB 0.jpg,325,20.2874,-36.7406,58.6597
