 ,Label,Area,Mean,Min,Max
100,D66 RB 0.jpg,287,11.0758,-37.0440,54.7138
101,D66 RB 0.jpg,537,11.2979,-39.2397,64.4727
102,D66 RB 0.jpg,377,21.6155,-40.3876,60.5645
103,D66 RB 0.jpg,96,-23.6423,-41.4121,-3.4902
104,D66 RB 0.jpg,396,11.9843,-23.3620,49.3027
105,D66 RB 0.jpg,458,13.7742,-44.2575,50.1180
106,D66 RB 0.jpg,697,20.9754,-47.9364,57.3046
107,D66 RB 0.jpg,336,15.0948,-41.9715,65.8150
108,D66 RB 0.jpg,419,10.4789,-41.2171,56.5756
109,D66 RB 0.jpg,288,20.9006,-44.0761,52.2985
110,D66 RB 0.jpg,580,16.1095,-58.1032,55.8360
111,D66 RB 0.jpg,309,9.3649,-22.9017,43.5328
112,D66 RB 0.jpg,331,20.2297,-35.1302,60.6836
113,D66 RB 0.jpg,252,13.5028,-31.8830,50.6025
114,D66 RB 0.jpg,596,17.2332,-35.7316,61.4598
115,D66 RB 0.jpg,303,17.7086,-30.9058,68.7823
116,D66 RB 0.jpg,251,17.8500,-17.5122,58.9892
117,D66 RB 0.jpg,428,19.1771,-47.8639,64.5611
118,D66 RB 0.jpg,469,17.0847,-40.4617,55.8750
119,D66 RB 0.jpg,517,12.9363,-33.4472,61.0672
120,D66 RB 0.jpg,371,6.1609,-44.2954,59.4945
121,D66 RB 0.jpg,263,12.0313,-41.2993,56.1907
122,D66 RB 0.jpg,300,19.0522,-35.8177,72.6768
123,D66 RB 0.jpg,660,10.2606,-48.2371,69.3848
124,D66 RB 0.jpg,316,13.9719,-41.5476,46.7512
125,D66 RB 0.jpg,259,29.7374,-16.5757,63.1222
126,D66 RB 0.jpg,440,12.0094,-38.5173,52.9081
127,D66 RB 0.jpg,356,19.4018,-28.8004,58.5251
128,D66 RB 0.jpg,466,10.6338,-38.5396,65.1671
129,D66 RB 0.jpg,499,11.9847,-42.9025,53.4501
130,D66 RB 0.jpg,532,12.5077,-47.7748,58.9054
131,D66 RB 0.jpg,300,18.5240,-42.8434,66.6832
132,D66 RB 0.jpg,397,0.5629,-41.9940,61.4598
133,D66 RB 0.jpg,803,8.8869,-51.6192,62.7844
134,D66 RB 0.jpg,374,21.9032,-36.7406,58.6597
