 ,Area,Mean,Min,Max,Image
123,596,17.2332,-35.7316,61.4598,0.jpg
124,303,17.7086,-30.9058,68.7823,0.jpg
125,251,17.8500,-17.5122,58.9892,0.jpg
126,428,19.1771,-47.8639,64.5611,0.jpg
127,469,17.0847,-40.4617,55.8750,0.jpg
128,517,12.9363,-33.4472,61.0672,0.jpg
129,371,6.1609,-44.2954,59.4945,0.jpg
130,263,12.0313,-41.2993,56.1907,0.jpg
131,300,19.0522,-35.8177,72.6768,0.jpg
132,660,10.2606,-48.2371,69.3848,0.jpg
133,316,13.9719,-41.5476,46.7512,0.jpg
134,259,29.7374,-16.5757,63.1222,0.jpg
135,440,12.0094,-38.5173,52.9081,0.jpg
136,356,19.4018,-28.8004,58.5251,0.jpg
137,466,10.6338,-38.5396,65.1671,0.jpg
138,499,11.9847,-42.9025,53.4501,0.jpg
139,532,12.5077,-47.7748,58.9054,0.jpg
140,300,18.5240,-42.8434,66.6832,0.jpg
141,397,0.5629,-41.9940,61.4598,0.jpg
142,803,8.8869,-51.6192,62.7844,0.jpg
143,354,20.5957,-36.7406,58.6597,0.jpg
144,572,15.1687,-34.0292,58.3246,0.jpg
145,428,18.2124,-43.9017,53.9197,0.jpg
146,551,17.2148,-45.0894,56.7628,0.jpg
147,223,27.1707,-20.0121,52.3903,0.jpg
148,564,3.5356,-43.6052,53.7608,0.jpg
149,492,18.3377,-40.7151,70.1352,0.jpg
150,483,16.6976,-40.6192,61.7667,0.jpg
151,709,13.3175,-56.4518,63.4108,0.jpg
152,311,5.1715,-26.5295,53.3611,0.jpg
153,441,21.9167,-34.5891,66.2655,0.jpg
154,281,17.7189,-42.9151,61.9436,0.jpg
155,538,7.6605,-35.6016,63.8882,0.jpg
156,301,12.3744,-36.5117,56.1740,0.jpg
157,263,19.3105,-10.5602,59.0327,0.jpg
158,373,13.8731,-44.3773,53.5782,0.jpg
159,306,12.8604,-51.5828,59.2971,0.jpg
160,474,14.9622,-25.0588,61.4726,0.jpg
161,259,17.6599,-38.1898,63.4758,0.jpg
162,402,8.9070,-28.5518,57.5669,0.jpg
163,488,17.1447,-36.1702,53.7532,0.jpg
164,264,15.4900,-65.5202,61.2472,0.jpg
165,247,12.3387,-35.7547,64.1963,0.jpg
166,559,9.9756,-43.0444,60.2964,0.jpg
167,647,6.5242,-41.5031,60.0972,0.jpg
168,328,9.7507,-32.9107,61.4809,0.jpg
169,389,16.4848,-34.3818,61.5110,0.jpg
170,101,11.1553,-13.8956,36.0375,0.jpg
171,319,6.7138,-41.8485,55.2767,0.jpg
172,99,16.4879,-42.2495,54.1994,0.jpg
173,675,10.1353,-39.2778,59.1662,0.jpg
174,361,16.3458,-25.3390,65.8884,0.jpg
175,321,11.1952,-33.3986,45.1033,0.jpg
176,526,3.4948,-50.1685,44.4458,0.jpg
177,373,16.8757,-29.7767,62.7995,0.jpg
178,492,11.2902,-39.3253,56.7678,0.jpg
179,394,11.7343,-49.5338,54.5588,0.jpg
180,377,19.6141,-43.1482,56.2456,0.jpg
181,282,14.4447,-29.4544,48.7755,0.jpg
182,643,19.1179,-38.4430,62.4649,0.jpg
183,567,10.4467,-40.5687,56.5532,0.jpg
184,336,17.5793,-41.7994,55.8786,0.jpg
185,456,15.2026,-38.8116,56.0229,0.jpg
186,642,5.2047,-47.0571,41.0217,0.jpg
187,534,16.6185,-51.2037,59.7703,0.jpg
188,437,13.0964,-51.1423,61.3918,0.jpg
189,368,20.0819,-46.1300,56.1917,0.jpg
190,376,15.0796,-39.3437,43.4467,0.jpg
191,481,4.1981,-47.1577,63.5232,0.jpg
192,258,19.8364,-24.5977,56.0817,0.jpg
193,397,22.0378,-39.0664,64.3331,0.jpg
194,415,3.3923,-53.4234,51.9164,0.jpg
195,427,13.6671,-40.5085,63.8375,0.jpg
196,425,15.0167,-36.0419,60.8574,0.jpg
197,371,16.3342,-41.4015,48.6003,0.jpg
198,417,6.5408,-35.1831,50.0239,0.jpg
199,600,10.1257,-34.6038,59.0581,0.jpg
200,232,16.1764,-22.9842,43.2391,0.jpg
201,161,18.7157,-22.6646,60.6497,0.jpg
202,550,15.2972,-35.3273,61.3176,0.jpg
203,535,4.7234,-34.4485,56.5039,0.jpg
204,523,5.7453,-41.8268,53.3237,0.jpg
205,361,16.7417,-32.0131,56.8630,0.jpg
206,504,16.4208,-49.8342,70.7741,0.jpg
207,199,8.9459,-52.9659,64.4731,0.jpg
208,554,16.3237,-41.4934,57.1884,0.jpg
209,423,12.4463,-32.0001,63.5943,0.jpg
210,284,17.6798,-23.9409,73.4376,0.jpg
211,284,10.4426,-49.5066,58.6493,0.jpg
212,372,14.4682,-33.2327,60.2762,0.jpg
213,394,17.2850,-32.9864,47.7459,0.jpg
214,222,24.0129,-13.7055,58.7270,0.jpg
215,340,4.5612,-44.1032,51.1668,0.jpg
216,383,6.8781,-52.3551,59.9947,0.jpg
217,328,20.0872,-17.6521,60.7546,0.jpg
218,366,16.5384,-42.6927,62.0509,0.jpg
219,454,19.3195,-35.1589,63.8992,0.jpg
220,298,23.8120,-28.7518,58.7622,0.jpg
221,320,-1.5665,-51.0828,42.8790,0.jpg
222,350,12.0941,-54.9259,52.9525,0.jpg
223,260,24.1109,-39.6688,63.5531,0.jpg
224,377,4.3882,-44.0103,56.1907,0.jpg
225,555,12.2920,-36.4646,63.2058,0.jpg
226,332,19.1209,-51.2544,60.2691,0.jpg
227,472,19.5538,-33.2471,68.9761,0.jpg
228,279,24.2797,-38.0653,63.1167,0.jpg
229,717,15.2214,-56.9991,65.0446,0.jpg
230,441,13.7008,-41.7795,57.8402,0.jpg
231,544,19.3544,-43.8142,60.7955,0.jpg
232,793,9.5987,-54.2685,76.0944,0.jpg
233,394,11.9464,-37.7831,68.0063,0.jpg
234,419,12.7281,-56.5845,63.5746,0.jpg
235,429,-1.1889,-53.4769,56.6094,0.jpg
236,393,5.9693,-43.6028,50.2355,0.jpg
237,342,14.4439,-41.3411,70.8786,0.jpg
238,484,17.9010,-47.7184,62.8130,0.jpg
239,347,16.1972,-43.5886,67.8910,0.jpg
240,246,6.9290,-29.4908,51.3965,0.jpg
241,360,11.8490,-45.8343,63.9960,0.jpg
242,240,-5.4350,-42.1518,21.1149,0.jpg
243,274,22.3857,-26.4904,73.8514,0.jpg
244,470,14.3510,-50.0305,56.5915,0.jpg
245,576,12.9837,-57.4735,57.4886,0.jpg
246,510,12.8146,-53.6919,59.1790,0.jpg
247,387,19.6926,-49.5538,68.4571,0.jpg
248,416,16.8647,-32.7471,54.9865,0.jpg
249,389,12.4169,-37.4930,60.4122,0.jpg
250,384,18.7685,-55.2626,66.0096,0.jpg
251,509,14.9610,-47.2749,58.8249,0.jpg
252,491,16.1757,-41.8949,57.9647,0.jpg
253,438,15.9820,-37.9303,59.9015,0.jpg
254,205,28.1905,-18.4166,56.4995,0.jpg
255,405,15.6427,-42.1906,57.6258,0.jpg
256,482,15.8461,-36.6570,67.7198,0.jpg
257,692,13.4290,-51.4535,60.8627,0.jpg
258,296,16.0474,-55.2243,54.3287,0.jpg
259,396,16.2095,-23.3379,60.7597,0.jpg
260,286,21.0689,-41.6763,63.5360,0.jpg
261,457,17.5005,-40.5841,66.5240,0.jpg
262,324,7.4514,-27.4933,53.6456,0.jpg
