 ,Area,Mean,Min,Max,Image
107,263,4.0566,-37.7336,53.4885,0.jpg
108,541,4.5457,-44.9637,54.1858,0.jpg
109,524,18.2402,-45.9508,71.5089,0.jpg
110,445,-4.9576,-37.2843,37.2039,0.jpg
111,286,6.4044,-43.3200,52.6064,0.jpg
112,537,6.5832,-45.7580,62.4026,0.jpg
113,377,17.3772,-46.2518,58.4014,0.jpg
114,96,-29.5255,-47.9504,-8.8243,0.jpg
115,396,7.3449,-29.4860,46.5900,0.jpg
116,458,9.2162,-50.2552,46.9223,0.jpg
117,697,16.7230,-53.5912,55.1544,0.jpg
118,336,10.5923,-48.6202,64.2847,0.jpg
119,418,5.7311,-47.1780,53.9616,0.jpg
120,75,27.3837,9.9922,49.5690,0.jpg
121,577,11.7765,-64.2321,53.7086,0.jpg
122,309,4.6417,-28.4139,40.3154,0.jpg
123,321,15.3828,-40.6416,58.0524,0.jpg
124,206,12.2854,-49.9464,48.0359,0.jpg
125,252,9.0234,-37.4241,47.8371,0.jpg
126,596,12.7266,-41.8613,59.0669,0.jpg
127,303,13.3299,-37.0140,67.3230,0.jpg
128,251,13.4708,-23.1663,56.7998,0.jpg
129,427,14.9666,-53.7793,62.0119,0.jpg
130,469,12.6507,-46.5526,53.3197,0.jpg
131,517,8.2687,-39.8749,58.5434,0.jpg
132,371,1.2970,-50.8275,57.4648,0.jpg
133,263,7.4403,-47.4266,54.0271,0.jpg
134,300,14.7224,-41.6650,70.7185,0.jpg
135,658,5.4406,-54.8771,67.5259,0.jpg
136,316,9.3624,-47.4265,43.5119,0.jpg
137,258,26.1151,-22.2139,61.0243,0.jpg
138,439,7.2969,-44.5426,50.7617,0.jpg
139,356,15.0823,-34.2916,55.8879,0.jpg
140,466,5.9074,-44.5229,63.0949,0.jpg
141,499,7.2786,-48.9966,50.8004,0.jpg
142,533,7.8328,-54.2566,56.7906,0.jpg
143,300,14.2214,-48.7788,64.7997,0.jpg
144,396,-4.5745,-48.0235,58.9414,0.jpg
145,803,3.9971,-58.3867,60.2434,0.jpg
146,353,16.3916,-42.2478,56.0739,0.jpg
147,569,10.6194,-40.4637,55.7504,0.jpg
148,428,13.8199,-50.4528,51.5384,0.jpg
149,551,12.7331,-50.8215,54.8400,0.jpg
150,223,23.3070,-25.6271,49.7786,0.jpg
151,564,-1.6367,-49.8791,51.4026,0.jpg
152,490,14.0434,-46.6843,68.2760,0.jpg
153,482,12.3224,-46.5138,59.3331,0.jpg
154,708,8.7120,-62.4503,61.3960,0.jpg
155,311,0.2185,-32.8916,51.2976,0.jpg
156,439,17.6904,-40.4527,64.1992,0.jpg
157,281,13.3261,-48.9997,59.8949,0.jpg
158,536,2.8302,-41.7934,61.2934,0.jpg
159,301,7.7553,-42.0499,53.5641,0.jpg
160,263,14.8126,-16.7629,56.5142,0.jpg
161,373,9.3123,-50.2450,50.9811,0.jpg
162,306,8.3448,-57.2693,56.7208,0.jpg
163,473,10.3971,-30.6247,59.0029,0.jpg
164,259,13.3116,-44.4036,61.4616,0.jpg
165,401,4.0932,-34.5860,55.0728,0.jpg
166,488,12.6993,-42.2133,50.9711,0.jpg
167,262,11.1904,-71.9945,59.1508,0.jpg
168,247,7.7577,-41.8512,62.6875,0.jpg
169,559,5.1330,-49.0497,57.7583,0.jpg
170,647,1.5310,-47.6025,57.6445,0.jpg
171,328,5.0581,-39.0768,59.4114,0.jpg
172,389,11.9889,-40.5604,59.4900,0.jpg
173,101,6.5181,-18.7236,32.7113,0.jpg
174,319,1.7733,-48.9466,52.6879,0.jpg
175,99,12.2847,-48.2706,51.5082,0.jpg
176,675,5.3278,-44.9246,57.0667,0.jpg
177,360,11.9049,-30.8881,64.0365,0.jpg
178,321,6.3727,-39.0828,41.6500,0.jpg
179,526,-1.5597,-56.1542,41.0097,0.jpg
180,373,12.4767,-35.9632,60.8482,0.jpg
181,492,6.5066,-45.9658,54.2186,0.jpg
182,394,7.0248,-55.8311,51.9071,0.jpg
183,377,15.2738,-49.2777,53.5154,0.jpg
184,282,9.7267,-35.1164,45.5054,0.jpg
185,643,14.6724,-43.9060,60.3765,0.jpg
186,566,5.6780,-46.5070,53.9718,0.jpg
187,335,13.1815,-47.8316,53.2059,0.jpg
188,455,10.5918,-44.5913,53.2593,0.jpg
189,642,0.2469,-53.2824,37.7822,0.jpg
190,534,12.1251,-57.5809,57.2032,0.jpg
191,436,8.6049,-57.3472,59.2421,0.jpg
192,367,15.7871,-52.0256,53.4815,0.jpg
193,376,10.5871,-45.3242,40.1921,0.jpg
194,480,-0.9628,-52.9180,61.5166,0.jpg
195,258,15.5025,-30.0991,53.4317,0.jpg
196,397,17.9129,-45.0121,62.2709,0.jpg
197,415,-1.7199,-59.4346,49.3027,0.jpg
198,427,9.0472,-46.5989,61.3758,0.jpg
199,425,10.4206,-42.1989,58.8403,0.jpg
200,370,12.0487,-47.4471,45.9115,0.jpg
201,416,1.6983,-40.6332,47.2258,0.jpg
202,600,5.3000,-40.2326,56.9521,0.jpg
203,232,11.7946,-29.2048,40.5079,0.jpg
204,161,14.4255,-28.3500,58.6284,0.jpg
205,550,10.6872,-40.6531,59.2200,0.jpg
206,37,13.4836,-25.8520,38.4212,0.jpg
207,535,-0.2887,-41.2263,53.9246,0.jpg
208,523,0.8012,-48.0623,50.7175,0.jpg
209,361,12.3281,-38.4534,54.8929,0.jpg
210,504,12.0085,-56.1327,69.3222,0.jpg
211,199,4.3758,-59.0829,62.4575,0.jpg
212,553,11.8510,-47.3174,54.8738,0.jpg
213,423,7.7731,-38.1872,61.4880,0.jpg
214,284,13.1493,-29.7594,71.5212,0.jpg
215,284,5.6431,-55.3165,56.0163,0.jpg
216,372,9.9254,-39.7770,58.1894,0.jpg
217,394,12.9055,-39.1260,44.3957,0.jpg
218,222,19.9581,-18.8972,56.1269,0.jpg
219,340,-0.4620,-50.9958,48.6637,0.jpg
220,383,1.9431,-58.4083,57.7211,0.jpg
221,329,15.6131,-23.5619,58.6489,0.jpg
222,366,12.0225,-49.2703,60.0573,0.jpg
223,453,14.9444,-41.0857,61.9117,0.jpg
224,298,19.7152,-34.0818,56.2281,0.jpg
225,320,-6.8340,-57.0123,39.5174,0.jpg
226,349,7.3062,-61.1777,49.9378,0.jpg
227,260,20.0421,-45.5380,61.0520,0.jpg
228,377,-0.5344,-50.4060,54.0271,0.jpg
229,555,7.6129,-42.8703,61.2479,0.jpg
230,331,14.7830,-57.4153,58.1597,0.jpg
231,472,15.2258,-39.3216,67.5264,0.jpg
232,279,20.2735,-43.7857,60.5843,0.jpg
233,716,10.7527,-63.2745,62.8382,0.jpg
234,441,9.0704,-48.3081,55.7174,0.jpg
235,544,14.9503,-49.6407,58.6910,0.jpg
236,792,4.8200,-60.2791,74.1776,0.jpg
237,394,7.2980,-44.4698,66.0471,0.jpg
238,419,8.1363,-62.5747,61.5497,0.jpg
239,428,-6.4812,-60.2174,53.4555,0.jpg
240,393,1.0828,-50.3687,47.5133,0.jpg
241,342,9.9644,-47.3594,68.9418,0.jpg
242,484,13.5374,-53.5516,60.7185,0.jpg
243,347,11.6643,-49.4638,65.9347,0.jpg
